fuzzyKey	date	ageBelow30Male	ageBelow30Female
85eea8839953ecf2ae2f19f8485ee04b	2021-12-12T05:30:00.000+05:30	0	0
c9082a3ede9eeb9d7997e9336cc36c23	2021-12-11T05:30:00.000+05:30	0	0
80db8eb80a51175dfc7a8c078a70e47e	2021-12-10T05:30:00.000+05:30	0	0
c328fbe61cc92e74be56a6fff3e89550	2021-12-09T05:30:00.000+05:30	0	0
2d54dfb96d5bf5c0f54c9d14985a334d	2021-12-08T05:30:00.000+05:30	0	0
0b8e2d22dcf2a956df56e79664989b68	2021-12-07T05:30:00.000+05:30	0	0
7084c36705f5aaba84b2be683dbc5deb	2021-12-06T05:30:00.000+05:30	0	0
4ea17d63300a2d3da6b19600da35125a	2021-12-05T05:30:00.000+05:30	0	0
d9fc4ac45e15ab5b63f633fb0fb71432	2021-12-04T05:30:00.000+05:30	0	0
c9eab6d68cd9af6d0bd90d36ddf263bd	2021-12-03T05:30:00.000+05:30	0	0
1ddc296dc9260e5680e25a6f57f15bcf	2021-12-02T05:30:00.000+05:30	0	0
667ac4f10527ffa19af56298f9c0513e	2021-12-01T05:30:00.000+05:30	0	0
1bd08f92e3a0afad5c0ab267329fd144	2021-11-30T05:30:00.000+05:30	0	0
56d430d7d6fd7b5cdbffff3fb81f28a1	2021-11-29T05:30:00.000+05:30	0	0
436336fc3a1b8afc4ec9009aa5d3bcda	2021-11-28T05:30:00.000+05:30	0	0
8347ebbcce073cc5ba018f9b0499ed7d	2021-11-27T05:30:00.000+05:30	0	0
cbf2d7f354b748c02838779c404fe24f	2021-11-26T05:30:00.000+05:30	1	0
915c1208dfb3a490b6e0f53c1699bd47	2021-11-25T05:30:00.000+05:30	0	0
bab635e288443e06340d0b6c17d0c879	2021-11-23T05:30:00.000+05:30	0	0
04318b37c1875c7dc82678e5c687d9d6	2021-11-22T05:30:00.000+05:30	1	0
bbdb993a3978d7218f1cc32bb2405ac3	2021-11-21T05:30:00.000+05:30	0	0
4adabea45ee5375383db464c18fba995	2021-11-20T05:30:00.000+05:30	1	0
be31a56bab30ad780e4464a5686aaf42	2021-11-19T05:30:00.000+05:30	0	0
7349a77bd6d0c111dcb211bcc413ce36	2021-11-18T05:30:00.000+05:30	0	0
2dd8b22cbc9fc8811439196ac236e616	2021-11-17T05:30:00.000+05:30	0	0
2bcc5aabc633857042226ed6479fc4e3	2021-11-16T05:30:00.000+05:30	0	0
a6a90bb73b8c019517c64244bb62095f	2021-11-15T05:30:00.000+05:30	0	0
07c8f27ed2acdac016e4294d90f4219d	2021-11-14T05:30:00.000+05:30	0	0
d1bfd6fdf113a955634a9f26c93e5354	2021-11-13T05:30:00.000+05:30	0	0
b60e6c52c11dc4a29969214758ef3a21	2021-11-12T05:30:00.000+05:30	0	1
309d5d09f6601fc8bb1cc006cd7f2fb4	2021-11-11T05:30:00.000+05:30	0	0
a33014c02c3b5e41598c843403753d20	2021-11-10T05:30:00.000+05:30	0	0
92009c139654956e888e6fc649cc2122	2021-11-09T05:30:00.000+05:30	1	0
b2852c35cf4e2cb66b7d1c16015f0e05	2021-11-08T05:30:00.000+05:30	0	0
e1dc8f113d578ef5806389b1d8b5df6d	2021-11-07T05:30:00.000+05:30	0	0
1153355d9772265daddcca28f4f6ea02	2021-11-06T05:30:00.000+05:30	0	0
84da8130e6f9ef6cb405594023cd1dab	2021-11-05T05:30:00.000+05:30	0	0
a64d129eae0f3a3024e31c1b0dd7134f	2021-11-04T05:30:00.000+05:30	0	0
0a4a60ea8a0dcaa6e6ba2ca984e8e344	2021-11-03T05:30:00.000+05:30	0	0
952a94c31192642c4820806e86f1cd36	2021-11-02T05:30:00.000+05:30	0	1
66637a87f127e4ed369a9f3c39b10df1	2021-11-01T05:30:00.000+05:30	0	0
81ef0fe790d3f366c06e48ed98915474	2021-10-31T05:30:00.000+05:30	0	0
0b52b755b12a723426094075d2be0fd4	2021-10-30T05:30:00.000+05:30	0	0
ff6d0b1978ba2d71537c74f91b013618	2021-10-29T05:30:00.000+05:30	0	0
4547fa596a94e100a60a0b5498ae0e8a	2021-10-28T05:30:00.000+05:30	0	1
42f55f32c64543c465c3b1bb6e40fb7c	2021-10-27T05:30:00.000+05:30	0	0
25cc7f648c7a7aa136df38df11e7bc42	2021-10-26T05:30:00.000+05:30	1	0
e05327e917b77e8461c2d87a1f4bdc63	2021-10-25T05:30:00.000+05:30	1	0
7ef414d451d9adc200789b7ba80780ac	2021-10-24T05:30:00.000+05:30	0	1
3c539983ce3bcf8611ea62adedcb848d	2021-10-23T05:30:00.000+05:30	0	0
a7c54a9aadc49f11ae180250130d55ac	2021-10-22T05:30:00.000+05:30	0	0
38af0dfbedb8887fc88f5d0fded5b555	2021-10-21T05:30:00.000+05:30	0	0
16dcb3d0000404ab8135e4da8fa151b5	2021-10-20T05:30:00.000+05:30	0	0
36180c4b63bc912d560f018a4ca45a5d	2021-10-19T05:30:00.000+05:30	0	1
bf225cd09b7f141eb44a6557cc7db4ae	2021-10-18T05:30:00.000+05:30	0	0
9f3b6e02131f6109dbcd9ddefe1a6aec	2021-10-17T05:30:00.000+05:30	0	0
1bd4459cd5509193dc106a27cfa75018	2021-10-16T05:30:00.000+05:30	0	0
349c885fb415b179074db5eecfd00657	2021-10-15T05:30:00.000+05:30	0	1
