fuzzyKey	title	scrapedDate	scrapedType	scrapedSubType	image
bd7f7aa84b4374a509bb5c704a37a2cb	Press Release - 2021.09.27 - Covid 19 Infection Report	2021-09-27	Press Release	Covid 19 Infection Report	https://www.dgi.gov.lk/images/2021.09.28/Press_Release_-_992_English-page-001.jpg
87ba84e45fee13fa95c329a05648e238	Press Release - 2021.09.27	2021-09-27	Press Release	Press Release	https://www.dgi.gov.lk/images/2021.09.28/Press_Release_-_991_English-page-001.jpg
be4784cabc29bfb1faae190126b45413	Press Release - 2021.09.27 - Covid 19 Infection Deaths	2021-09-27	Press Release	Covid 19 Infection Deaths	https://www.dgi.gov.lk/images/2021.09.28/Press_Release_-_990_English-page-001.jpg
09fb80392fe9451bc69b63cbf60a5d5b	Press Release - 2021.09.27 - Do not get misled by baseless opinions by parties with commercial interest : take COVID 19 vaccine without delay - Specialist Doctors warn	2021-09-27	Press Release	Press Release	https://www.dgi.gov.lk/images/2021.09.28/Press_Release_-_988_English-page-001.jpg
e05bbd69d8e4cf93f39d911b5ce66bfe	Press Release - 2021.09.26 - Covid 19 Infection Report	2021-09-26	Press Release	Covid 19 Infection Report	https://www.dgi.gov.lk/images/2021.09.26/Press_Release_-_987_English-page-001.jpg
c09e53c6163beafb6fba72df62b105b7	Press Release - 2021.09.26	2021-09-26	Press Release	Press Release	https://www.dgi.gov.lk/images/2021.09.26/Press_Release_-_985_English-page-001.jpg
6193f89ae310b6a0607c34bda0a6053b	Press Release - 2021.09.26 - Covid 19 infection deaths	2021-09-26	Press Release	Covid 19 infection deaths	https://www.dgi.gov.lk/images/2021.09.26/Press_Release_-_984_English-page-001.jpg
a816706bde767f2c72a2be5ad3b08e29	Press Release - 2021.09.25 - Covid 19 Infection Report	2021-09-25	Press Release	Covid 19 Infection Report	https://www.dgi.gov.lk/images/2021.09.26/Press_Release_-_983_English-page-001.jpg
853858cafc75662e707113a5d0f96470	Press Release - 2021.09.25	2021-09-25	Press Release	Press Release	https://www.dgi.gov.lk/images/2021.09.26/Press_Release_-_982_English-page-001.jpg
0e7c85a6578928383a27b1f11360f28c	Press Release - 2021.09.25 - Covid 19 Infection Deaths	2021-09-25	Press Release	Covid 19 Infection Deaths	https://www.dgi.gov.lk/images/2021.09.26/Press_Release_-_981_English_1-page-001.jpg
0b63db6f572ea71ad68c9ddd4f7ba4ec	Press Release - 2021.09.24 - Covid 19 Infection Report	2021-09-24	Press Release	Covid 19 Infection Report	https://www.dgi.gov.lk/images/2021.09.25/Press_Release_-_978_English-page-001.jpg
36c6d859396dfcacf2b20b6303818512	Press Release - 2021.09.24	2021-09-24	Press Release	Press Release	https://www.dgi.gov.lk/images/2021.09.25/Press_Release_-_977_English-page-001.jpg
77418ac05a3eff21cd4235ff8c9871be	Press Release - 2021.09.24 - Covid 19 Infection Deaths	2021-09-24	Press Release	Covid 19 Infection Deaths	https://www.dgi.gov.lk/images/2021.09.25/Press_Release_-_975_English-page-001.jpg
ebf93f36ba0745c3951e4d48d636448a	Press Release - 2021.09.23 - Covid 19 Infection Report	2021-09-23	Press Release	Covid 19 Infection Report	https://www.dgi.gov.lk/images/2021.09.24/Press_Release_-_973_English-page-001.jpg
3ec300ddb65f1787f7b58433f2438312	Press Release - 2021.09.23	2021-09-23	Press Release	Press Release	https://www.dgi.gov.lk/images/2021.09.24/Press_Release_-_972_English-page-001.jpg
